Nomor,Nama File,Due Date,PO Number,Tel,Email,Site,SUB_TOTAL,DISCOUNT,TAX,TOTAL,Bank Name,Branch Name,Bank Account Number,Bank Swift Code
1,Template1_Instance0.jpg,16-Oct-2016,35,+(352)259-8443,melvin40@example.net,http://smith.org/,725.30 EUR,(-) 13.42,VAT (3.88%): 28.18 EUR,734.33 EUR,State Bank of California,Raf CAMP,11695435,SBININBB250
2,Template1_Instance1.jpg,25-Nov-1999,76,+(038)419-8330,millschristopher@example.com,https://www.cole.com/,1302.22 EUR,(-) 27.35,VAT (6.40%): 83.40 EUR,1357.49 EUR,Central Bank of Texas,Raf CAMP,15150488,SBININBB250
3,Template1_Instance10.jpg,20-Jun-1995,46,+(675)553-3428,baileygary@example.net,https://www.mccormick.com/,735.29 EUR,(-) 26.99,VAT (3.10%): 22.77 EUR,744.38 EUR,Central Bank of Europe,Raf CAMP,10180775,SBININBB250
4,Template1_Instance100.jpg,14-Aug-2009,27,+(080)666-8294,mcdanielchristopher@example.net,https://west.com/,965.24 EUR,(-) 27.99,VAT (3.36%): 32.47 EUR,967.02 EUR,State Bank of Europe,Raf CAMP,16382672,SBININBB250
5,Template1_Instance101.jpg,16-May-2012,04,+(792)992-4731,chelseaunderwood@example.com,http://rivera.info/,614.54 USD,(-) 21.2,VAT (4.18%): 25.68 USD,626.27 USD,Central Bank of Europe,Raf CAMP,17025461,SBININBB250
6,Template1_Instance102.jpg,25-Sep-2020,98,+(811)045-2978,ymills@example.org,http://wells-woodward.com/,435.82 USD,(-) 20.83,VAT (4.70%): 20.49 USD,444.46 USD,Central Bank of Europe,Raf CAMP,17190279,SBININBB250
7,Template1_Instance103.jpg,24-Feb-2022,25,+(832)234-6947,allenwilliam@example.org,http://www.stafford.org/,805.87 EUR,(-) 37.71,VAT (6.27%): 50.52 EUR,839.31 EUR,State Bank of Texas,Raf CAMP,17572158,SBININBB250
8,Template1_Instance104.jpg,12-Apr-2014,93,+(295)244-9610,nicole58@example.net,https://garcia.org/,632.25 USD,(-) 26.18,VAT (3.80%): 24.03 USD,647.37 USD,State Bank of Europe,Raf CAMP,13004366,SBININBB250
9,Template1_Instance105.jpg,08-May-2006,08,+(323)014-8128,brendayu@example.com,https://bryan.net/,563.26 EUR,(-) 17.74,VAT (6.42%): 36.17 EUR,586.14 EUR,State Bank of California,Raf CAMP,17902802,SBININBB250
10,Template1_Instance106.jpg,11-Feb-2015,35,+(415)871-5401,barrygarcia@example.com,https://richardson.com/,449.17 EUR,(-) 20.8,VAT (5.41%): 24.31 EUR,452.82 EUR,Central Bank of Europe,Raf CAMP,13525779,SBININBB250
11,Template1_Instance107.jpg,21-May-2016,99,+(969)127-3134,fordangel@example.net,https://woods.com/,311.26 USD,(-) 12.48,VAT (4.18%): 13.03 USD,312.12 USD,Central Bank of Europe,Raf CAMP,11883890,SBININBB250
12,Template1_Instance108.jpg,31-Jan-2011,03,+(752)892-6097,ewashington@example.com,https://foley-hodges.info/,324.71 USD,(-) 12.31,VAT (4.89%): 15.88 USD,334.06 USD,State Bank of California,Raf CAMP,13133219,SBININBB250
13,Template1_Instance109.jpg,23-Mar-1999,24,+(187)657-2210,michellemorales@example.net,https://rodriguez.com/,755.30 USD,(-) 31.95,VAT (3.67%): 27.75 USD,748.38 USD,Central Bank of Europe,Raf CAMP,17938157,SBININBB250
14,Template1_Instance11.jpg,23-May-2000,99,+(908)834-1601,johnsonkarina@example.org,http://livingston.com/,286.76 $,(-) 12.7,VAT (5.35%): 15.34 $,291.69 $,State Bank of Texas,Raf CAMP,18865073,SBININBB250
15,Template1_Instance110.jpg,18-Mar-2001,10,+(662)466-0405,jgomez@example.net,https://oconnor.biz/,563.12 $,(-) 21.57,VAT (3.47%): 19.52 $,572.33 $,Central Bank of England,Raf CAMP,10624895,SBININBB250
16,Template1_Instance111.jpg,15-May-2012,72,+(231)241-1554,joseph84@example.org,https://www.good-mills.com/,614.49 USD,(-) 11.0,VAT (6.07%): 37.30 USD,641.71 USD,Central Bank of California,Raf CAMP,19761845,SBININBB250
17,Template1_Instance112.jpg,05-Oct-2019,30,+(087)543-3832,pollardregina@example.net,https://jones.com/,697.36 $,(-) 25.59,VAT (5.86%): 40.89 $,730.72 $,Central Bank of USA,Raf CAMP,15325482,SBININBB250
18,Template1_Instance113.jpg,22-Jun-2016,97,+(886)174-7011,deandavis@example.net,https://ramirez.com/,1062.43 EUR,(-) 19.34,VAT (6.95%): 73.83 EUR,1099.50 EUR,State Bank of Texas,Raf CAMP,16589670,SBININBB250
19,Template1_Instance114.jpg,28-Sep-2018,01,+(002)538-1949,davidsonrobert@example.com,https://www.petersen.com/,1472.62 EUR,(-) 35.34,VAT (5.66%): 83.40 EUR,1540.85 EUR,Central Bank of Texas,Raf CAMP,15290172,SBININBB250
20,Template1_Instance115.jpg,24-Oct-1993,94,+(863)858-4235,jefferytorres@example.org,https://www.gordon.com/,392.21 USD,(-) 15.81,VAT (6.14%): 24.10 USD,406.86 USD,Central Bank of England,Raf CAMP,15266855,SBININBB250
21,Template1_Instance116.jpg,06-Dec-1997,94,+(810)203-4116,vbarnes@example.org,https://ortiz.com/,592.65 EUR,(-) 22.64,VAT (4.33%): 25.66 EUR,590.93 EUR,State Bank of Europe,Raf CAMP,18582412,SBININBB250
22,Template1_Instance117.jpg,21-Oct-2019,21,+(028)833-4920,david19@example.org,http://www.mccoy.com/,402.81 EUR,(-) 18.49,VAT (3.70%): 14.89 EUR,410.09 EUR,State Bank of California,Raf CAMP,12221993,SBININBB250
23,Template1_Instance118.jpg,08-Dec-1995,65,+(246)174-5374,heather60@example.org,https://www.russell.net/,693.05 $,(-) 9.01,VAT (3.64%): 25.22 $,702.75 $,State Bank of California,Raf CAMP,18023691,SBININBB250
24,Template1_Instance119.jpg,14-Jun-2004,72,+(845)461-8730,tiffany03@example.net,https://moore-navarro.biz/,646.73 USD,(-) 9.57,VAT (3.90%): 25.20 USD,649.68 USD,Central Bank of Texas,Raf CAMP,17045952,SBININBB250
25,Template1_Instance12.jpg,09-Sep-2010,49,+(221)488-0938,rsmith@example.net,http://www.morton.com/,227.73 EUR,(-) 6.42,VAT (4.34%): 9.89 EUR,234.82 EUR,Central Bank of Europe,Raf CAMP,13551954,SBININBB250
26,Template1_Instance120.jpg,13-Jul-1994,52,+(033)681-2164,dsullivan@example.net,http://www.martin-graves.com/,757.26 USD,(-) 23.25,VAT (4.08%): 30.87 USD,774.65 USD,Central Bank of Europe,Raf CAMP,12950959,SBININBB250
27,Template1_Instance121.jpg,08-Apr-2002,89,+(809)025-1003,erin98@example.org,https://bauer.com/,311.00 $,(-) 7.9,VAT (6.92%): 21.54 $,323.05 $,Central Bank of England,Raf CAMP,13141281,SBININBB250
28,Template1_Instance122.jpg,17-Nov-2007,26,+(711)929-7120,eray@example.com,https://www.andrews.com/,1104.03 $,(-) 21.42,VAT (6.84%): 75.50 $,1153.59 $,State Bank of England,Raf CAMP,13374102,SBININBB250
29,Template1_Instance123.jpg,07-Feb-2013,09,+(050)147-0550,williamsdavid@example.org,http://rodriguez.com/,227.51 $,(-) 4.21,VAT (6.25%): 14.23 $,232.64 $,State Bank of England,Raf CAMP,18702862,SBININBB250
30,Template1_Instance124.jpg,28-Jul-2019,61,+(298)570-1377,fnavarro@example.org,https://www.greer.com/,701.48 $,(-) 24.55,VAT (4.06%): 28.48 $,713.48 $,State Bank of England,Raf CAMP,16279311,SBININBB250
31,Template1_Instance125.jpg,03-Jun-2022,87,+(221)186-9890,kenneth00@example.net,https://www.weaver-gutierrez.biz/,641.25 USD,(-) 13.72,VAT (4.28%): 27.42 USD,644.88 USD,State Bank of England,Raf CAMP,12271265,SBININBB250
32,Template1_Instance126.jpg,21-Jul-2016,77,+(146)412-6529,brandonramirez@example.net,http://mcgrath.com/,1983.92 $,(-) 88.88,VAT (4.53%): 89.83 $,1981.50 $,Central Bank of Texas,Raf CAMP,18131117,SBININBB250
33,Template1_Instance127.jpg,19-Apr-1994,78,+(798)086-9546,otaylor@example.org,http://williams-rivera.com/,624.36 $,(-) 19.17,VAT (6.02%): 37.56 $,633.76 $,Central Bank of England,Raf CAMP,12675968,SBININBB250
34,Template1_Instance128.jpg,18-Dec-2019,29,+(874)007-6957,bellnatasha@example.org,http://wu.net/,1200.66 EUR,(-) 32.54,VAT (5.33%): 63.97 EUR,1239.06 EUR,Central Bank of California,Raf CAMP,13889914,SBININBB250
35,Template1_Instance129.jpg,26-Dec-2019,04,+(885)392-1656,dianemiller@example.com,http://www.stephenson.com/,1181.96 $,(-) 44.8,VAT (4.41%): 52.07 $,1178.95 $,State Bank of Europe,Raf CAMP,10386188,SBININBB250
36,Template1_Instance13.jpg,28-Dec-1994,09,+(469)618-2664,thomasgregg@example.net,https://www.allen-kaufman.org/,281.20 EUR,(-) 11.22,VAT (5.84%): 16.43 EUR,284.50 EUR,State Bank of England,Raf CAMP,13380562,SBININBB250
37,Template1_Instance130.jpg,28-Apr-1993,56,+(897)864-9132,lisa19@example.com,http://alvarez.biz/,1355.67 EUR,(-) 45.69,VAT (3.03%): 41.07 EUR,1376.27 EUR,Central Bank of England,Raf CAMP,10917184,SBININBB250
38,Template1_Instance131.jpg,30-Dec-2017,54,+(138)202-5254,simmonsalice@example.org,https://www.hamilton-martinez.com/,303.42 $,(-) 11.89,VAT (3.41%): 10.34 $,309.88 $,State Bank of England,Raf CAMP,13446397,SBININBB250
39,Template1_Instance132.jpg,27-Sep-2020,76,+(588)629-8002,kim50@example.net,http://james.com/,561.52 EUR,(-) 7.81,VAT (5.25%): 29.48 EUR,575.33 EUR,State Bank of England,Raf CAMP,16340389,SBININBB250
40,Template1_Instance133.jpg,03-Jun-2017,08,+(996)341-3640,markjohnson@example.net,http://www.mcdonald.com/,1072.65 $,(-) 20.81,VAT (5.71%): 61.21 $,1084.41 $,Central Bank of England,Raf CAMP,10147412,SBININBB250
41,Template1_Instance134.jpg,10-Oct-2007,44,+(243)650-5469,wyatt50@example.com,http://hays.com/,989.90 USD,(-) 42.76,VAT (3.80%): 37.62 USD,995.35 USD,Central Bank of Texas,Raf CAMP,16972511,SBININBB250
42,Template1_Instance135.jpg,01-Sep-2011,47,+(013)298-9292,ohunt@example.com,https://jackson-costa.com/,288.92 USD,(-) 13.23,VAT (6.72%): 19.42 USD,302.24 USD,State Bank of England,Raf CAMP,19896193,SBININBB250
43,Template1_Instance136.jpg,25-Jun-2003,59,+(673)156-4702,victoria14@example.com,https://www.ortiz.info/,168.44 EUR,(-) 6.62,VAT (6.88%): 11.58 EUR,173.92 EUR,Central Bank of Europe,Raf CAMP,18195184,SBININBB250
44,Template1_Instance137.jpg,13-May-2017,40,+(275)789-9074,jonathan71@example.net,http://harrison.com/,285.96 EUR,(-) 6.86,VAT (3.53%): 10.10 EUR,289.80 EUR,State Bank of Europe,Raf CAMP,16015041,SBININBB250
45,Template1_Instance138.jpg,18-Aug-1998,92,+(255)022-3688,cpeterson@example.net,http://gomez.net/,1218.20 USD,(-) 57.86,VAT (5.77%): 70.31 USD,1241.73 USD,Central Bank of Texas,Raf CAMP,17955135,SBININBB250
46,Template1_Instance139.jpg,28-Jul-2002,17,+(243)611-1546,wfox@example.com,http://www.collins.com/,713.51 $,(-) 18.62,VAT (3.76%): 26.83 $,719.93 $,State Bank of California,Raf CAMP,17750167,SBININBB250
47,Template1_Instance14.jpg,10-Dec-2013,84,+(726)392-3224,tramirez@example.net,http://fleming.com/,668.96 $,(-) 21.94,VAT (6.65%): 44.50 $,691.32 $,State Bank of Europe,Raf CAMP,14081977,SBININBB250
48,Template1_Instance140.jpg,17-May-1997,25,+(749)897-3394,mgibson@example.net,http://www.bailey.com/,156.27 $,(-) 5.67,VAT (4.95%): 7.73 $,159.97 $,State Bank of Texas,Raf CAMP,17399881,SBININBB250
